,,,
,,,
,,,
,,,
,,,
,,,
,,,
,FID,x,y
,327,1938532.184,3879187.984
,328,1938530.868,3879161.618
,329,1938517.588,3879120.119
,330,1938515.695,3879086.8
,331,1938513.438,3879047.079
,332,1938510.948,3879013.88
,333,1938513.438,3878977.36
,334,1938522.568,3878943.33
,335,1938530.357,3878918.924
,336,1938535.018,3878904.321
,337,1938535.018,3878894.361
,338,1938543.854,3878880.068
,339,1938555.553,3878861.142
,340,1938563.238,3878848.711
,341,1938576.341,3878836.427
,342,1938590.262,3878823.376
,343,1938603.077,3878811.361
,344,1938612.963,3878801.476
,345,1938623.827,3878790.612
,346,1938629.851,3878772.896
,347,1938634.301,3878759.806
,348,1938637.937,3878749.112
,349,1938639.614,3878738.633
,350,1938641.788,3878725.041
,351,1938644.577,3878707.612
,352,1938644.577,3878687.771
,353,1938644.577,3878670.925
,354,1938644.577,3878656.153
,355,1938651.492,3878644.45
,356,1938659.845,3878630.315
,357,1938668.072,3878616.393
,358,1938676.947,3878601.373
,359,1938683.94,3878592.422
,360,1938693.86,3878579.724
,361,1938697.697,3878574.813
,362,1938703.64,3878555.156
,363,1938708.487,3878539.124
,364,1938713.207,3878527.618
,365,1938721.766,3878506.754
,366,1938740.402,3878489.404
,367,1938761.423,3878472.485
,368,1938784.016,3878455.294
,369,1938793.006,3878442.308
,370,1938798.956,3878433.715
,371,1938802.825,3878416.52
,372,1938806.426,3878400.515
,373,1938811.27,3878381.139
,374,1938814.726,3878367.315
,375,1938798.58,3878333.409
,376,1938784.529,3878303.372
,377,1938772.501,3878276.911
,378,1938760.776,3878251.116
,379,1938745.836,3878217.916
,380,1938740.856,3878193.017
,381,1938741.311,3878182.566
,382,1938745.624,3878162.902
,383,1938750.164,3878150.189
,384,1938758.286,3878127.447
,385,1938764.926,3878107.527
,386,1938790.656,3878100.887
,387,1938813.272,3878096.896
,388,1938832.986,3878093.417
,389,1938844.158,3878094.277
,390,1938855.606,3878095.157
,391,1938865.355,3878095.907
,392,1938877.805,3878075.988
,393,1938870.335,3878053.578
,394,1938852.075,3878036.978
,395,1938849.178,3878015.733
,396,1938847.095,3878000.458
,397,1938837.965,3877991.328
,398,1938815.773,3877997.73
,399,1938794.806,3878003.778
,400,1938794.806,3878003.778
,401,1938769.076,3878017.058
,402,1938757.265,3878019.125
,403,1938735.876,3878022.868
,404,1938723.673,3878026.722
,405,1938702.613,3878033.372
,406,1938688.567,3878037.808
,407,1938672.701,3878040.912
,408,1938659.579,3878043.48
,409,1938650.387,3878045.278
,410,1938646.026,3878066.059
,411,1938642.484,3878082.934
,412,1938638.777,3878100.597
,413,1938632.389,3878125.837
,414,1938627.046,3878144.156
,415,1938620.754,3878165.729
,416,1938617.659,3878176.341
,417,1938613.037,3878192.187
,418,1938600.545,3878206.98
,419,1938589.075,3878220.563
,420,1938574.455,3878240.833
,421,1938561.22,3878262.065
,422,1938550.238,3878279.681
,423,1938535.33,3878305.481
,424,1938522.62,3878329.656
,425,1938512.421,3878349.054
,426,1938499.328,3878373.955
,427,1938488.501,3878387.77
,428,1938476.477,3878403.11
,429,1938461.744,3878421.907
,430,1938451.189,3878435.375
,431,1938448.43,3878451.928
,432,1938445.006,3878472.469
,433,1938442.059,3878490.154
,434,1938441.488,3878508.413
,435,1938438.841,3878522.601
,436,1938416.916,3878529.175
,437,1938397.603,3878531.068
,438,1938368.67,3878526.334
,439,1938335.111,3878524.27
,440,1938319.45,3878523.847
,441,1938300.538,3878525.842
,442,1938285.795,3878529.393
,443,1938263.317,3878534.808
,444,1938246.644,3878546.413
,445,1938228.64,3878558.945
,446,1938216.428,3878581.08
,447,1938197.461,3878616.045
,448,1938184.445,3878641.557
,449,1938190.904,3878667.054
,450,1938209.172,3878683.661
,451,1938229.519,3878702.158
,452,1938245.486,3878718.66
,453,1938265.697,3878741.167
,454,1938274.592,3878765.339
,455,1938281.335,3878783.662
,456,1938289.141,3878798.407
,457,1938296.633,3878812.559
,458,1938302.434,3878834.132
,459,1938307.512,3878853.015
,460,1938303.951,3878871.35
,461,1938300.658,3878888.302
,462,1938298.333,3878900.27
